Source,Key Patent Number,Standardised Active Ingredients
FDA Orange Book,US6967208,APIXABAN
FDA Orange Book,US9326945,APIXABAN
FDA Orange Book,US8071073,AZELASTINE
FDA Orange Book,US8518919,AZELASTINE
FDA Orange Book,US9919050,AZELASTINE
FDA Orange Book,US8163723,AZELASTINE; FLUTICASONE
FDA Orange Book,US8168620,AZELASTINE; FLUTICASONE
FDA Orange Book,US10912751,BEMPEDOIC ACID; EZETIMIBE
FDA Orange Book,US11613511,BEMPEDOIC ACID; EZETIMIBE
FDA Orange Book,US11744816,BEMPEDOIC ACID; EZETIMIBE
FDA Orange Book,US11760714,BEMPEDOIC ACID; EZETIMIBE
FDA Orange Book,US11926584,BEMPEDOIC ACID; EZETIMIBE
FDA Orange Book,US7335799,BEMPEDOIC ACID; EZETIMIBE
FDA Orange Book,US10391160,DIMETHYL FUMARATE
FDA Orange Book,US10555993,DIMETHYL FUMARATE
FDA Orange Book,US10959972,DIMETHYL FUMARATE
FDA Orange Book,US10994003,DIMETHYL FUMARATE
FDA Orange Book,US11007166,DIMETHYL FUMARATE
FDA Orange Book,US11007167,DIMETHYL FUMARATE
FDA Orange Book,US11129806,DIMETHYL FUMARATE
FDA Orange Book,US11246850,DIMETHYL FUMARATE
FDA Orange Book,US8399514,DIMETHYL FUMARATE
FDA Orange Book,US8080580,ERTUGLIFLOZIN; SITAGLIPTIN
FDA Orange Book,US9308204,ERTUGLIFLOZIN; SITAGLIPTIN
FDA Orange Book,US9439901,ERTUGLIFLOZIN; SITAGLIPTIN
FDA Orange Book,US7326708,"ERTUGLIFLOZIN; SITAGLIPTIN, METFORMIN; SITAGLIPTIN, SIMVASTATIN; SITAGLIPTIN, SITAGLIPTIN"
FDA Orange Book,US7612058,EZETIMIBE
FDA Orange Book,US10376470,EZETIMIBE; ROSUVASTATIN
FDA Orange Book,US9763885,EZETIMIBE; ROSUVASTATIN
FDA Orange Book,US10076614,FLUTICASONE
FDA Orange Book,US10076615,FLUTICASONE
FDA Orange Book,US10124132,FLUTICASONE
FDA Orange Book,US10179216,FLUTICASONE
FDA Orange Book,US10252010,FLUTICASONE
FDA Orange Book,US10300229,FLUTICASONE
FDA Orange Book,US10478574,FLUTICASONE
FDA Orange Book,US11033696,FLUTICASONE
FDA Orange Book,US11554229,FLUTICASONE
FDA Orange Book,US11602603,FLUTICASONE
FDA Orange Book,US12083270,FLUTICASONE
FDA Orange Book,US7500444,FLUTICASONE
FDA Orange Book,US7975690,FLUTICASONE
FDA Orange Book,US8062264,FLUTICASONE
FDA Orange Book,US8147461,FLUTICASONE
FDA Orange Book,US8201556,FLUTICASONE
FDA Orange Book,US8347879,FLUTICASONE
FDA Orange Book,US8522778,FLUTICASONE
FDA Orange Book,US8550073,FLUTICASONE
FDA Orange Book,US8651103,FLUTICASONE
FDA Orange Book,US8714149,FLUTICASONE
FDA Orange Book,US8978647,FLUTICASONE
FDA Orange Book,US9320862,FLUTICASONE
FDA Orange Book,US10022510,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US10124131,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US10195375,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US10561808,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US10569034,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US10765820,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US10918816,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US11000653,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US11173259,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US11266796,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US11344685,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US11351317,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US11357935,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US11439777,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US11464923,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US11969544,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US8978966,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US9216260,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US9463288,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US9616024,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US9731087,"FLUTICASONE, FLUTICASONE; SALMETEROL"
FDA Orange Book,US9782550,"FLUTICASONE, FLUTICASONE; SALMETEROL"
