Filter,Selected Values,,,
Subscription Name,Azure subscription 1,,,
Subscription ID,5e99c4a7-fbe9-4a59-a682-bae3550badda,,,
Providers ,Compute,,,
Regions ,"Australia East, East US",,,
Show by usage,Show all,,,
Report Generated Date and Time,"Jan 22, 2025 13:43:14",,,
,,,,
Quota,Region,Usage,Current Limit,Usage%
Availability Sets,Australia East,0,2500,0%
Total Regional vCPUs,Australia East,0,10,0%
Virtual Machines,Australia East,0,25000,0%
Virtual Machine Scale Sets,Australia East,0,2500,0%
Dedicated vCPUs,Australia East,0,3000,0%
Cloud Services,Australia East,0,2500,0%
Total Regional Spot vCPUs,Australia East,0,3,0%
Basic A Family vCPUs,Australia East,0,10,0%
Standard A0-A7 Family vCPUs,Australia East,0,10,0%
Standard A8-A11 Family vCPUs,Australia East,0,10,0%
Standard D Family vCPUs,Australia East,0,10,0%
Standard Dv2 Family vCPUs,Australia East,0,10,0%
Standard DS Family vCPUs,Australia East,0,10,0%
Standard DSv2 Family vCPUs,Australia East,0,10,0%
Standard G Family vCPUs,Australia East,0,10,0%
Standard GS Family vCPUs,Australia East,0,10,0%
Standard F Family vCPUs,Australia East,0,10,0%
Standard FS Family vCPUs,Australia East,0,10,0%
Standard NV Family vCPUs,Australia East,0,12,0%
Standard NC Family vCPUs,Australia East,0,12,0%
Standard H Family vCPUs,Australia East,0,8,0%
Standard Av2 Family vCPUs,Australia East,0,10,0%
Standard LS Family vCPUs,Australia East,0,10,0%
Standard Dv2 Promo Family vCPUs,Australia East,0,10,0%
Standard DSv2 Promo Family vCPUs,Australia East,0,10,0%
Standard MS Family vCPUs,Australia East,0,0,0%
Standard Dv3 Family vCPUs,Australia East,0,10,0%
Standard DSv3 Family vCPUs,Australia East,0,10,0%
Standard Ev3 Family vCPUs,Australia East,0,10,0%
Standard ESv3 Family vCPUs,Australia East,0,10,0%
Standard Dv4 Family vCPUs,Australia East,0,10,0%
Standard DDv4 Family vCPUs,Australia East,0,10,0%
Standard DSv4 Family vCPUs,Australia East,0,10,0%
Standard DDSv4 Family vCPUs,Australia East,0,10,0%
Standard Ev4 Family vCPUs,Australia East,0,10,0%
Standard EDv4 Family vCPUs,Australia East,0,0,0%
Standard ESv4 Family vCPUs,Australia East,0,0,0%
